concept,anime,value
numberOfEpisodes,1000-years-later,"1"
title,1000-years-later,"10000 Years Later"
title,1000-years-later,"10000 Years Later"
description,1000-years-later,"Hundreds of thousands of years after the collapse of civilization, the world is a post-tech wasteland, and is inhabited by humanoid tribes. The Peace held between them is threatened by the return of Wushen, an evil shape-shifting ghost of modern technology. Wushen threatens to enslave the world population. Zhuma, a ten-year-old girl is the heroine of the story, accompanied by Zhanggong, her lion-like Tibetan Mastiff dog. Chosen, and helped by a ethereal goddess she must assemble a band of allies from the surviving tribes to fight Wushen, and stop him from gaining control over an ancient power.\r \r (Source: IMDb)"
endDate,1000-years-later,"2015-03-27"
mainEntityOfPage,1000-years-later,"https://kitsu.io/anime/1000-years-later"
mainEntityOfPage,1000-years-later,"https://myanimelist.net/anime/35432"
name,1000-years-later,"10000 Years Later"
name,1000-years-later,"10000 Years Later"
numberOfEpisodes,1000-years-later,"1"
startDate,1000-years-later,"2015-03-27"
trailer,1000-years-later,"<https://betweenourworlds.org/trailer/1000-years-later> ."
22-rdf-syntax-ns#type,1000-years-later,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,1000-years-later,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,1000-years-later,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,1000-years-later,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,1000-years-later,"<http://schema.org/Movie> ."
22-rdf-syntax-ns#type,1000-years-later,"<http://schema.org/Thing> ."
rdf-schema#comment,1000-years-later,"Hundreds of thousands of years after the collapse of civilization, the world is a post-tech wasteland, and is inhabited by humanoid tribes. The Peace held between them is threatened by the return of Wushen, an evil shape-shifting ghost of modern technology. Wushen threatens to enslave the world population. Zhuma, a ten-year-old girl is the heroine of the story, accompanied by Zhanggong, her lion-like Tibetan Mastiff dog. Chosen, and helped by a ethereal goddess she must assemble a band of allies from the surviving tribes to fight Wushen, and stop him from gaining control over an ancient power.\r \r (Source: IMDb)"
rdf-schema#label,1000-years-later,"10000 Years Later"
rdf-schema#label,1000-years-later,"10000 Years Later"
numberOfEpisodes,100-pascal-sensei,"6"
title,100-pascal-sensei,"100% Pascal-sensei"
title,100-pascal-sensei,"100% Pascal-sensei"
title,100-pascal-sensei,"100%\u30D1\u30B9\u30AB\u30EB\u5148\u751F"
contentRating,100-pascal-sensei,"All Ages"
contentRating,100-pascal-sensei,"G"
description,100-pascal-sensei,"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human.\r \r (Source: ANN)"
endDate,100-pascal-sensei,"2017-03-15"
mainEntityOfPage,100-pascal-sensei,"https://kitsu.io/anime/100-pascal-sensei"
mainEntityOfPage,100-pascal-sensei,"https://myanimelist.net/anime/35447"
name,100-pascal-sensei,"100% Pascal-sensei"
name,100-pascal-sensei,"100% Pascal-sensei"
name,100-pascal-sensei,"100%\u30D1\u30B9\u30AB\u30EB\u5148\u751F"
numberOfEpisodes,100-pascal-sensei,"6"
startDate,100-pascal-sensei,"2016-10-15"
trailer,100-pascal-sensei,"<https://betweenourworlds.org/trailer/100-pascal-sensei> ."
22-rdf-syntax-ns#type,100-pascal-sensei,"<http://dbpedia.org/ontology/Anime> ."
22-rdf-syntax-ns#type,100-pascal-sensei,"<http://dbpedia.org/ontology/Cartoon> ."
22-rdf-syntax-ns#type,100-pascal-sensei,"<http://dbpedia.org/ontology/Work> ."
22-rdf-syntax-ns#type,100-pascal-sensei,"<http://schema.org/CreativeWork> ."
22-rdf-syntax-ns#type,100-pascal-sensei,"<http://schema.org/Thing> ."
rdf-schema#comment,100-pascal-sensei,"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human.\r \r (Source: ANN)"
rdf-schema#label,100-pascal-sensei,"100% Pascal-sensei"
rdf-schema#label,100-pascal-sensei,"100% Pascal-sensei"
rdf-schema#label,100-pascal-sensei,"100%\u30D1\u30B9\u30AB\u30EB\u5148\u751F"
title,100-pascal-sensei-tv,"100% Pascal-sensei (TV)"
title,100-pascal-sensei-tv,"100% Pascal-sensei (TV)"
title,100-pascal-sensei-tv,"100% Teacher Pascal"
title,100-pascal-sensei-tv,"100%\u30D1\u30B9\u30AB\u30EB\u5148\u751F (TV)"
contentRating,100-pascal-sensei-tv,"All Ages"
contentRating,100-pascal-sensei-tv,"G"
description,100-pascal-sensei-tv,"The story centers around an elementary school teacher who is so stupid that he cannot even write his own name. He does whatever he likes in his classroom. Plus, by all appearances, he is not human.\r \r (Source: ANN)"
mainEntityOfPage,100-pascal-sensei-tv,"https://kitsu.io/anime/100-pascal-sensei-tv"
