subject, object
subject,"object"
http://dbpedia.org/resource/Captain_N:_The_Game_Master,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Amiga_demos,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Amiga_support_and_maintenance_software,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Amos_Fiat,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Puyo_Puyo_(video_game),"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Puyo_Puyo_Tetris,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Puyo_Puyo_Tetris_2,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Puzzle_Strike:_Bag_of_Chips,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Puzzled_(video_game),"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Puzzlejuice,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Qntm,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Quarth,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Quattro_Pro,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Robert_Maxwell,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Robert_Stickgold,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Roger_Dean_(artist),"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Roogoo,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Rotohex,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Samsung_i8000_Omnia_II,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Electronika_60,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/Elektronorgtechnica,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/List_of_Windows_3.x_games,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/List_of_best-selling_Game_Boy_video_games,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/List_of_best-selling_PC_games,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/List_of_controversial_video_games,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/List_of_crossovers_in_video_games,"http://dbpedia.org/resource/Tetris"
http://dbpedia.org/resource/List_of_cultural_icons_of_Russia,"http://dbpedia.org/resource/Tetris"
